"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"","","C32","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C33","100nF","arduinouno:C2012X7R1H104K085AA","arduinouno:C0805x95mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7534-1-ND"
"","","C34","10uF|16V","arduinouno:C2012X5R1C106M085AC","arduinouno:C0805x145mm","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","445-7645-1-ND"
"","","D1","GREEN","arduinouno:LG_L29K-G2J1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493945/LG%20L29K.pdf","475-2709-1-ND"
"","","D2","ORANGE","arduinouno:LO_L29K-H2K1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493882/LO%20L29K.pdf","475-2740-1-ND"
"","","D3","ORANGE","arduinouno:LO_L29K-H2K1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493882/LO%20L29K.pdf","475-2740-1-ND"
"","","D4","ORANGE","arduinouno:LO_L29K-H2K1-24-Z","arduinouno:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493882/LO%20L29K.pdf","475-2740-1-ND"
"","","D5","BAT54HT1G","arduinouno:BAT54HT1G","arduinouno:SOD323","http://www.onsemi.com/pub/Collateral/BAT54HT1-D.PDF","BAT54HT1GOSTR-ND"
"","","D6","BAT54HT1G","arduinouno:BAT54HT1G","arduinouno:SOD323","http://www.onsemi.com/pub/Collateral/BAT54HT1-D.PDF","BAT54HT1GOSTR-ND"
"","","FB1","MPZ2012S601AT000","arduinouno:MPZ2012S601AT000","arduinouno:FB0805x85mm","https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_power_mpz2012_en.pdf","445-7645-1-ND"
"","","FB2","MPZ2012S601AT000","arduinouno:MPZ2012S601AT000","arduinouno:FB0805x85mm","https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_power_mpz2012_en.pdf","445-7645-1-ND"
"","","FB3","MPZ2012S601AT000","arduinouno:MPZ2012S601AT000","arduinouno:FB0805x85mm","https://product.tdk.com/info/en/catalog/datasheets/beads_commercial_power_mpz2012_en.pdf","445-7645-1-ND"
"","","FID1","FID_1MM","arduinouno:FID_1MM","arduinouno:FID_40x120M","",""
"","","FID2","FID_1MM","arduinouno:FID_1MM","arduinouno:FID_40x120M","",""
"","","FID3","FID_1MM","arduinouno:FID_1MM","arduinouno:FID_40x120M","",""
"","","FID4","FID_1MM","arduinouno:FID_1MM","arduinouno:FID_40x120M","",""
"","","J1","M20-7820842","arduinouno:M20-7820842","arduinouno:8P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1823-ND"
"","","J2","M20-7820646","arduinouno:M20-7820646","arduinouno:6P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1809-ND"
"","","J3","M20-7820842","arduinouno:M20-7820842","arduinouno:8P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1823-ND"
"","","J4","M20-7821046","arduinouno:M20-7821046","arduinouno:10P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1847-ND"
"","","J5","67997-106HLF","arduinouno:67997-106HLF","arduinouno:HDR_2x3_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3393-ND"
"","","J6","67997-106HLF","arduinouno:67997-106HLF","arduinouno:HDR_2x3_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3393-ND"
